,avoided_count,chosen_count,normal_incident_count,scary_incident_count,leg_count,length,count,avoided_score,chosen_score,popularity_score,temporary_safety_score,mixed_popularity_score
[highway = primary],0,0,0,0,0,452.606,81,0.0,0.0,0.5,1.0,0.75
[highway = secondary],33,6,0,0,0,50.808,147,0.22448979591836735,0.04081632653061224,0.40816326530612246,1.0,0.7040816326530612
[highway = tertiary],0,78,0,0,0,87.75500000000001,630,0.0,0.12380952380952381,0.5619047619047619,1.0,0.780952380952381
[highway = unclassified],0,0,0,0,0,383.604,0,,,,,
[highway = residential],0,0,0,0,0,9.07,0,,,,,
[highway = service],0,0,0,0,0,2462.476,240,0.0,0.0,0.5,1.0,0.75
[highway = pedestrian],0,0,0,0,0,0.0,0,,,,,
[highway = footway][bicycle = yes],0,1,1,0,0,80.891,37,0.0,0.02702702702702703,0.5135135135135135,0.972972972972973,0.7432432432432432
[highway = footway][bicycle = no],0,0,0,0,0,9.451,0,,,,,
[highway = footway],0,1,2,0,0,9087.337,193,0.0,0.0051813471502590676,0.5025906735751295,0.9896373056994818,0.7461139896373057
[highway = steps],0,0,0,0,0,445.229,6,0.0,0.0,0.5,1.0,0.75
[highway = corridor],0,0,0,0,0,0.0,0,,,,,
[highway = path],66,35,0,0,0,166.10000000000002,66,1.0,0.5303030303030303,0.26515151515151514,1.0,0.6325757575757576
[footway = crossing],0,0,0,0,0,473.591,18,0.0,0.0,0.5,1.0,0.75
[highway = cycleway],18,0,0,0,0,2.375,36,0.5,0.0,0.25,1.0,0.625
