,id,infra_type,avg_a_score,avg_c_score,avg_p_score,avg_s_score,avg_m_p_score,avg_danger_score,count,incident_count,avg_incident_count,scary_incident_count,avg_scary_incident_count,c_count,avg_c_count,a_count,avg_a_count
0,1,[bicycle = designated][segregated = yes],0.56,0.0,0.0,1.0,0.6667,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.1667
1,2,[highway = cycleway][!segregated],0.1473,0.1406,0.4884,0.9678,0.808,0.0,747.0,1.0,0.01,0.0,0.0,105.0,1.05,110.0,1.1
2,3,[bicycle = designated][!segregated],0.115,0.27,0.7013,0.7407,0.7276,0.0,400.0,3.0,0.1429,0.0,0.0,108.0,5.1429,46.0,2.1905
3,4,[highway = pedestrian][!segregated],0.0174,0.4696,0.9643,0.375,0.5714,0.0,115.0,3.0,0.0769,0.0,0.0,54.0,1.3846,2.0,0.0513
4,5,[highway = track][!segregated],0.0063,0.45,0.9863,1.0,0.9954,0.0,160.0,0.0,0.0,0.0,0.0,72.0,0.8,1.0,0.0111
5,6,[highway = path][!segregated],0.0,0.178,1.0,1.0,1.0,0.0,191.0,0.0,0.0,0.0,0.0,34.0,0.7083,0.0,0.0
6,7,[footway = sidewalk][!segregated],0.0124,0.2053,0.9431,0.8056,0.8514,0.0,2986.0,21.0,0.0208,0.0,0.0,613.0,0.6057,37.0,0.0366
7,8,[highway = footway][!segregated],0.0253,0.2065,0.8909,0.5791,0.683,0.0,7633.0,71.0,0.0287,0.0,0.0,1576.0,0.6375,193.0,0.0781
8,9,[cycleway = track],0.0,0.2222,1.0,1.0,1.0,0.0,81.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0
9,10,[cycleway = opposite_track],0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
10,11,[cycleway = lane],0.0689,0.1681,0.7094,0.9006,0.8369,0.0,13565.0,54.0,0.065,2.0,0.0024,2280.0,2.7437,934.0,1.1239
11,12,[cycleway = opposite],0.0584,0.2263,0.7949,1.0,0.9316,0.0,137.0,0.0,0.0,0.0,0.0,31.0,1.1481,8.0,0.2963
12,13,[cycleway = share_busway],0.0766,0.2199,0.7416,0.7474,0.7455,0.0,705.0,9.0,0.25,0.0,0.0,155.0,4.3056,54.0,1.5
13,14,[cycleway = shared_lane],0.0428,0.0539,0.5574,1.0,0.8525,0.0,631.0,0.0,0.0,0.0,0.0,34.0,0.9444,27.0,0.75
14,15,[highway = primary][cycleway = track],0.0,0.1923,1.0,1.0,1.0,0.0,78.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0
15,16,[highway = residential][cycleway = track],0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
16,17,[highway = primary][cycleway = lane],0.0528,0.1906,0.7832,0.9168,0.8723,0.0,6255.0,24.0,0.0752,1.0,0.0031,1192.0,3.7367,330.0,1.0345
17,18,[highway = secondary][cycleway = lane],0.073,0.1234,0.6284,0.881,0.7968,0.0,5015.0,21.0,0.0714,1.0,0.0034,619.0,2.1054,366.0,1.2449
18,19,[highway = tertiary][cycleway = lane],0.0968,0.216,0.6906,0.8619,0.8048,0.0,1963.0,9.0,0.0536,0.0,0.0,424.0,2.5238,190.0,1.131
19,20,[highway = residential][cycleway = lane],0.1411,0.138,0.4945,1.0,0.8315,0.0,326.0,0.0,0.0,0.0,0.0,45.0,1.0714,46.0,1.0952
20,21,[highway = residential][parking][!cycleway],0.0,0.1607,1.0,1.0,1.0,0.0,56.0,0.0,0.0,0.0,0.0,9.0,0.3,0.0,0.0
21,22,[highway = living_street][parking][!cycleway],0.05,0.6667,0.9302,1.0,0.9767,0.0,60.0,0.0,0.0,0.0,0.0,40.0,2.3529,3.0,0.1765
22,23,[highway = primary][!cycleway][!parking],0.0223,0.2204,0.9082,0.8901,0.8961,0.0,3502.0,16.0,0.0604,0.0,0.0,772.0,2.9132,78.0,0.2943
23,24,[highway = secondary][!cycleway][!parking],0.081,0.0889,0.5233,0.9005,0.7748,0.0,5172.0,18.0,0.0606,0.0,0.0,460.0,1.5488,419.0,1.4108
24,25,[highway = tertiary][!cycleway][!parking],0.0987,0.1302,0.569,0.8969,0.7876,0.0,5605.0,18.0,0.0292,0.0,0.0,730.0,1.1851,553.0,0.8977
25,26,[highway = unclassified][!cycleway][!parking],0.304,0.3787,0.5547,0.9726,0.8333,0.0,375.0,1.0,0.0147,0.0,0.0,142.0,2.0882,114.0,1.6765
26,27,[highway = residential][!cycleway][!parking],0.1152,0.1558,0.5748,0.8575,0.7633,0.0,16714.0,75.0,0.0302,1.0,0.0004,2604.0,1.0479,1926.0,0.7751
27,28,[highway = primary_link][!cycleway][!parking],0.0188,0.0813,0.8125,0.7879,0.7961,0.0,160.0,1.0,0.2,0.0,0.0,13.0,2.6,3.0,0.6
28,29,[highway = secondary_link][!cycleway][!parking],0.0108,0.0612,0.85,1.0,0.95,0.0,278.0,0.0,0.0,0.0,0.0,17.0,1.7,3.0,0.3
29,30,[highway = tertiary_link][!cycleway][!parking],0.0,0.0682,1.0,1.0,1.0,0.0,88.0,0.0,0.0,0.0,0.0,6.0,1.5,0.0,0.0
30,31,[highway = living_street][!cycleway][!parking],0.0755,0.1848,0.71,0.6993,0.7029,0.0,1418.0,9.0,0.0283,1.0,0.0031,262.0,0.8239,107.0,0.3365
